夢の中で待ち合わせ,Soogyong Kim,58,art
孤島に沢山のスピーカーを待っていって音を爆音で鳴らしてパーティーをする など,南タン,51,life
ヘリウムガスを吸って混声合唱,黄倉未来,49,music
とある風景に付随する記憶や感情,不揃いキャラメルケーキ,34,life
色んな長いものをだらーんて垂らしてみたい,中尾香織,28,direction
昔をカラーでイメージできない,Kakita Ibuki,27,life
記憶の重ね合わせ,Kakita Ibuki,26,life
DJと作曲,𝑚𝑜𝑠𝑡𝑖𝑛,25,life
プロジェクター投影,Kakita Ibuki,23,life
職業体験,芥川亜由弥,22,edit
換気したい,ささじまかずま,21,direction
