series,こども基地協会を設立,first,近日公開,【こども基地協会とは】身近な材料で作られた簡単な遊具や遊び場を「こども基地」と呼び、こども基地を作る楽しみ、こどもの様に遊ぶ楽しさを普及させることを目指す協会です。,kodomokichi,95,tba,2021.1.16 - こども基地協会の会報の配布開始,https://youtu.be/mg6hORb0dao
series,芝浴,first,近日公開,何もしない、あるいは何も考えないために、芝で日光を浴び憩うこと,shibayoku,65,tba,2020.11.1 こす にて 芝浴を実現 | 2021.1.16 - 1.31 大大大 chotto crazy 2020 MAX にて 芝浴を実現,https://youtu.be/VabHM3IrFZM
max,砂のトンネルで握手,first,実現延期,砂場。当然、山をつくる。３つ下の弟。つくって、つくって、つくって、穴を掘る。あ、手が当たる。あの時もしそのまま手を繋いでいたら、一体どんな感じがしたのだろう。,touch,40,tba,2020.12.11 感染症拡大防止ガイドラインに基づき実現延期,none
oneday,ふとんで寝ながらさんぽしたい,first,実現延期,いつもじゃなくていいんだけど、ふとんから出たくないときがある。,ofuton,60,tba,2020.12.11 感染症拡大防止ガイドラインに基づき実現延期,none
online,How to Coding,second,2021.4.1 -,自分が熱狂した頃の面白かったインターネットをもう一度復活させたい。,howtocoding,40,active,2021.4.1 ウェブコーディングの方法を紹介するウェブサイトをオンライン発表,/online/
max,新しい生活を集める,second,2021.4.4 -,忙しなく情報が行き交う騒がしい生活から回避できる、秘密基地みたいな場所・環境をつくりたい。,membersonly,45,active,2021.10.10 - 30 展覧会・販売会「新しい生活を集める」開催,/cando/membersonly/
online,自分の気持ちを知る・表す,second,2021.4.4 -,誰もが共通の印象を持つことができる「色」と「記号」を使って、自分の気持ちを知る・表す,sign,75,active,2021.9.27 会員制コミュニティサイト「creative-community.space」開設,/online/sign/
online,ORG,second,2021.6.14 -,物事を用途やカテゴリーごとに綺麗に分けて、どこに何があるかちゃんと把握できるようにしたい。,org,50,active,2021.6.14 ウェブテンプレート「ORG」をオンライン発表,/online/org/
online,HTML graffiti,second,2021.7.1 -,落書きみたいなウェブサイトをたくさん作りたい,graffiti,20,active,2021.7.1 落書きみたいなウェブサイトをまとめたウェブページ公開,/2021/online/
online,Go Out,second,2021.7.7 -,行ったことのない場所へ行ったり、やったことのないことをやったり、知らないものごとと出会いに、外へ出る。,goout,25,active,2021.12.10 デジタルマップ「Osaka Map」をオンライン発表,/cando/goout/
online,WWW to Print,second,2021.9.15 -,好きなウェブサイトを出力したPDF／デジタルコンテンツを印刷した冊子を集めた図書館を作りたい,printedweb,10,active,2021.9.15 会員制デジタル図書館「WWW to Print Library」を設立,/cando/printedweb/
max,VG CTLG,second,2021.11.14 -,自分がこれまでに影響を受けた世界中のすごいものごとを集めたカタログを作りたい。,vg,20,active,2021.11.14 - 30 展覧会「1F」開催,/cando/ctlg/
series,The Symphony of Masterpieces,second,2021.9.15 -,友達や友達になりたい人に、自分が思う傑作を紹介してもらい、それらを鑑賞するイベント／動画配信を行う。,tsom,25,active,2021.3.12 The Symphony of Masterpieces beta 配信開始,/cando/ctlg/
series,FREE TIME,second,2021.9.15 -,何か 作ったり、壊したり、書いたり、読んだり、話したり、撮ったり、見たり、音を出したり、聞いたり、練習したり、挑戦したり、 する時間を共有する,freetime,10,active,音ビル・さまざまな場所で、コミュニティ会員限定イベントを定期開催,/cando/freetime/
