2022.1.15 - 30,VG CTLG,音ビルにて、「1F」開催,/cando/ctlg/
2021.10.10 - 30,新しい生活を集める,音ビルにて、展覧会「新しい生活を集める」開催,/cando/membersonly/
2021.9.27,新しい生活を集める,会員制コミュニティサイト「creative-community.space」開設,/cando/membersonly/
2021.9.15,WWW to Print,会員制デジタルライブラリーを設立,/cando/printedweb/
2021.9.15 -,FREE TIME,コミュニティ会員限定イベントを定期開催,/cando/
2021.7.11,Go Out,知らないものごとと出会いに、外へ出る 活動開始,/cando/goout/
2021.7.1,大 chotto crazy 2021,公式ウェブサイト開設／公式プログラム発表,/2021/
2021.7.1,HTML graffiti,落書きみたいなウェブサイトのオンライン発表を開始,/2021/online/
2021.6.14,ORG,リストページ／投稿フォームの作り方をオンライン発表,/online/org/
2021.5.10 -,The Symphony of Masterpieces,友達や友達になりたい人が傑作だと思うものごとを放送する番組を開始,/cando/ctlg/
2021.4.4,自分の気持ちを知る・表す,色と記号で自分の気持ちを表す会員制掲示板をオンライン発表,/online/sign/
2021.4.3,音の出るものをいっぱい並べる,音ビルにて「こゝろ」開催,/2021/cocoro/
2021.4.3,大 chotto crazy 2020,公式作品集 「こすって何」 発売開始,/2020/pre-event/
2021.4.1,How to Coding,ウェブサイトの作り方をまとめるウェブサイトの制作を開始,/online/
2021.2.14,藍で染めよう祭り,ソウさんが初めて栽培したタデアイを使った藍液を使用した、Chotto Crazy Tee & Tote オンライン販売開始,http://newlifecollection.com/ca1/514/p-r1-s/
2021.2.8,大 chotto crazy 2020,大 chotto crazy 2020 公式ウェブサイトに記録作品を追加したをZipファイルをオンライン発表,/2020/
2021.2.8,メモリーゲーム,大大大 chotto crazy 2020 MAX 来場者が描いた スケッチ を 重ね合わせる ウェブサイトをオンライン発表,/2020/otobuil/
2021.1.30,ラだと思う音,いろいろな人の「ラ（だと思う音）」をまとめたミニアルバムをオンライン発表,http://la.chottocrazy.pe.hu/
2021.1.30,座右の銘を交換,ウェブサイト「座右の銘の交換」のために宙空一派が制作したBGMにいくつかの楽曲を追加したミニアルバムをオンライン発表,http://zayuunomei.chottocrazy.pe.hu/
